                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0361,                0.88062,                 1.0881,                0.84596,                0.78924,                0.90045,                0.67214,                0.88023,                0.75691,                0.99697,              0.0096634,              0.0096634,              0.0096634
                     36,                 1.0144,                0.86235,                 1.0684,                0.80266,                0.87683,                 0.9064,                0.68888,                0.83013,                0.73253,                0.99673,              0.0096535,              0.0096535,              0.0096535
                     37,                 1.0224,                0.89108,                 1.0774,                0.81672,                0.86228,                0.90554,                0.69093,                0.84609,                0.76351,                0.99097,              0.0096436,              0.0096436,              0.0096436
                     38,                 1.0142,                 0.8717,                 1.0715,                0.80512,                0.86586,                0.90974,                0.68622,                0.83366,                0.76191,                0.97675,              0.0096337,              0.0096337,              0.0096337
                     39,                 1.0032,                0.85166,                 1.0733,                0.82761,                0.86826,                0.90667,                0.69364,                0.86966,                 0.7324,                 1.0086,              0.0096238,              0.0096238,              0.0096238
                     40,                 1.0088,                0.85908,                 1.0637,                0.80828,                0.85834,                0.90095,                 0.6854,                0.86761,                0.77464,                0.98447,              0.0096139,              0.0096139,              0.0096139
                     41,                 1.0218,                0.85285,                 1.0677,                0.80738,                0.87425,                 0.9179,                0.70792,                0.84646,                0.74058,                0.98312,               0.009604,               0.009604,               0.009604
                     42,                 1.0013,                0.84934,                 1.0694,                0.84733,                0.86228,                0.91588,                0.68482,                 0.8647,                0.76356,                0.99879,              0.0095941,              0.0095941,              0.0095941
                     43,                 1.0004,                 0.8543,                 1.0598,                0.88155,                0.83832,                0.92539,                0.71195,                0.82733,                0.70613,                0.98474,              0.0095842,              0.0095842,              0.0095842
                     44,                0.98436,                0.84846,                  1.062,                0.81934,                 0.8503,                 0.9089,                0.71681,                0.81692,                0.73399,                0.98022,              0.0095743,              0.0095743,              0.0095743
                     45,                0.98856,                0.83674,                 1.0562,                0.83623,                 0.8561,                0.91381,                  0.708,                  0.841,                0.72494,                0.98499,              0.0095644,              0.0095644,              0.0095644
                     46,                0.97622,                0.83392,                  1.052,                0.80412,                0.88496,                0.91569,                0.68532,                0.87583,                0.72804,                0.98237,              0.0095545,              0.0095545,              0.0095545
                     47,                0.98178,                0.83526,                  1.047,                0.89202,                0.79641,                0.92292,                0.71596,                0.82903,                0.71194,                0.98188,              0.0095446,              0.0095446,              0.0095446
                     48,                0.96783,                0.81575,                 1.0505,                0.90957,                0.78294,                0.91352,                0.70345,                0.82514,                0.73459,                0.97869,              0.0095347,              0.0095347,              0.0095347
                     49,                0.98935,                0.83571,                 1.0508,                0.82113,                0.86228,                0.91426,                0.70734,                0.82099,                0.72255,                0.97855,              0.0095248,              0.0095248,              0.0095248
                     50,                0.98087,                0.82189,                 1.0552,                0.87483,                0.83704,                0.92875,                0.70921,                0.83832,                0.70866,                0.97647,              0.0095149,              0.0095149,              0.0095149
                     51,                0.97329,                 0.8326,                 1.0426,                0.82022,                0.83832,                0.92186,                0.71807,                0.85172,                0.69057,                0.98987,               0.009505,               0.009505,               0.009505
                     52,                 0.9692,                0.82277,                 1.0447,                0.85647,                0.78443,                0.89974,                0.69209,                 0.8454,                0.72535,                0.97841,              0.0094951,              0.0094951,              0.0094951
                     53,                0.97254,                0.81897,                 1.0491,                0.78805,                0.91284,                0.92458,                0.72098,                0.81357,                0.67483,                0.96812,              0.0094852,              0.0094852,              0.0094852
                     54,                0.96747,                0.81339,                 1.0435,                 0.7436,                0.91018,                0.90363,                0.69478,                0.87014,                0.73153,                0.98323,              0.0094753,              0.0094753,              0.0094753
                     55,                0.95493,                  0.815,                 1.0372,                 0.8378,                0.83512,                  0.918,                0.71237,                0.82176,                0.69163,                0.96172,              0.0094654,              0.0094654,              0.0094654
                     56,                 0.9537,                0.81077,                 1.0358,                0.76113,                0.87771,                0.90375,                0.69592,                0.84207,                0.70877,                0.96885,              0.0094555,              0.0094555,              0.0094555
                     57,                0.96231,                0.80856,                 1.0455,                 0.7852,                0.88623,                0.90865,                0.69325,                0.82727,                0.71622,                0.96506,              0.0094456,              0.0094456,              0.0094456
                     58,                0.95949,                0.79493,                 1.0421,                0.81696,                 0.8503,                0.91762,                0.71131,                0.85696,                0.70058,                0.97251,              0.0094357,              0.0094357,              0.0094357
                     59,                0.96907,                0.81092,                 1.0475,                0.84598,                0.82229,                0.90959,                0.71887,                 0.7662,                0.70715,                0.94549,              0.0094258,              0.0094258,              0.0094258
                     60,                 0.9509,                0.80716,                 1.0367,                0.87235,                0.81846,                0.91386,                0.70517,                0.81703,                0.70898,                0.95075,              0.0094159,              0.0094159,              0.0094159
                     61,                0.94478,                0.80088,                 1.0378,                0.85497,                0.81192,                0.91423,                 0.7054,                0.80997,                0.70381,                0.96155,               0.009406,               0.009406,               0.009406
                     62,                0.95686,                0.79497,                 1.0411,                0.81273,                0.87425,                0.91253,                0.70508,                0.82539,                 0.7033,                 0.9693,              0.0093961,              0.0093961,              0.0093961
                     63,                0.95083,                0.78719,                 1.0342,                0.85048,                0.82635,                0.90943,                0.71035,                0.78583,                0.71318,                0.96508,              0.0093862,              0.0093862,              0.0093862
                     64,                0.94007,                0.78577,                 1.0302,                0.84727,                0.83044,                0.90978,                0.71189,                0.81705,                0.68403,                0.96126,              0.0093763,              0.0093763,              0.0093763
                     65,                0.94541,                0.78699,                 1.0362,                0.82631,                0.85629,                0.91988,                0.69689,                0.83082,                0.69717,                0.97328,              0.0093664,              0.0093664,              0.0093664
                     66,                0.94457,                0.79594,                 1.0319,                0.83905,                0.83832,                0.91729,                0.72502,                0.82256,                0.69443,                0.95413,              0.0093565,              0.0093565,              0.0093565
                     67,                0.93764,                0.78082,                 1.0266,                0.83279,                0.87425,                 0.9124,                0.71783,                0.79501,                0.67076,                0.95276,              0.0093466,              0.0093466,              0.0093466
                     68,                0.92912,                  0.767,                 1.0239,                0.84458,                0.82635,                0.91864,                0.71831,                0.81068,                0.67777,                  0.958,              0.0093367,              0.0093367,              0.0093367
                     69,                0.93448,                0.77828,                 1.0261,                0.83402,                 0.8425,                0.90734,                0.70975,                0.80657,                0.70767,                 0.9539,              0.0093268,              0.0093268,              0.0093268
                     70,                0.91737,                0.77116,                 1.0252,                0.80325,                0.90451,                0.90295,                0.69598,                0.80711,                0.68964,                0.95118,              0.0093169,              0.0093169,              0.0093169
                     71,                0.92421,                0.76577,                 1.0223,                0.84198,                0.85629,                0.92212,                0.72433,                0.81036,                0.69602,                 0.9489,               0.009307,               0.009307,               0.009307
                     72,                 0.9342,                0.79107,                 1.0276,                0.84322,                0.85629,                0.92078,                0.71721,                0.82415,                0.69725,                0.95127,              0.0092971,              0.0092971,              0.0092971
                     73,                 0.9362,                0.77768,                 1.0292,                0.86836,                0.80838,                0.91736,                0.70799,                 0.8021,                0.72418,                0.95463,              0.0092872,              0.0092872,              0.0092872
